model,검색,hf_id,dim,후보수,max_seq,Hit@1,Hit@3,MRR@3,nDCG@3,정답@1,정답@3,VRAM_MB,index_MB,chunks_per_s,query_ms
kure-v1 [512],512,nlpai-lab/KURE-v1,1024,264,512,0.8467,0.9867,0.9111,0.894,127,148,1287.0,1.03,148.9,1.43
bge-m3 [512] [hybrid(dense+sparse)],512,BAAI/bge-m3,1024,264,512,0.82,0.9867,0.8956,0.8699,123,148,1273.0,1.03,158.2,1.09
bge-m3 [512],512,BAAI/bge-m3,1024,264,512,0.7867,0.9733,0.8733,0.8495,118,146,1273.0,1.03,158.2,1.09
e5-small-ko [512],512,dragonkue/multilingual-e5-small-ko,384,264,512,0.6933,0.9067,0.7933,0.7834,104,136,313.0,0.39,556.7,1.03
harrier-270m [512],512,microsoft/harrier-oss-v1-270m,640,264,512,0.5467,0.74,0.6333,0.6162,82,111,675.0,0.64,180.6,2.37
harrier-0.6b [512],512,microsoft/harrier-oss-v1-0.6b,1024,264,512,0.54,0.7067,0.6133,0.5941,81,106,1382.0,1.03,68.4,2.88
e5-large-instruct [512],512,intfloat/multilingual-e5-large-instruct,1024,264,512,0.24,0.3533,0.2889,0.2804,36,53,1273.0,1.03,148.0,1.42
bge-m3 [full] [hybrid(dense+sparse)],full,BAAI/bge-m3,1024,51,8192,0.9133,0.98,0.9444,0.9536,137,147,1536.0,0.2,29.5,3.39
kure-v1 [full],full,nlpai-lab/KURE-v1,1024,51,8192,0.9133,0.96,0.9344,0.941,137,144,1565.0,0.2,30.3,3.73
bge-m3 [full],full,BAAI/bge-m3,1024,51,8192,0.8867,0.96,0.9222,0.9321,133,144,1536.0,0.2,29.5,3.39
harrier-270m [full],full,microsoft/harrier-oss-v1-270m,640,51,8192,0.8,0.8533,0.8244,0.8319,120,128,1360.0,0.12,32.6,7.08
harrier-0.6b [full],full,microsoft/harrier-oss-v1-0.6b,1024,51,8192,0.74,0.84,0.7833,0.7979,111,126,2440.0,0.2,10.7,8.41
