model,검색,hf_id,dim,후보수,max_seq,Hit@1,Hit@3,MRR@3,nDCG@3,정답@1,정답@3,VRAM_MB,index_MB,chunks_per_s,query_ms
kure-v1 [512],512,nlpai-lab/KURE-v1,1024,264,512,0.88,0.9867,0.9289,0.9114,132,148,1287.0,1.03,148.8,1.42
bge-m3 [512] [hybrid(dense+sparse)],512,BAAI/bge-m3,1024,264,512,0.8533,0.9867,0.9144,0.8892,128,148,1273.0,1.03,157.1,1.13
bge-m3 [512],512,BAAI/bge-m3,1024,264,512,0.8067,0.9667,0.88,0.857,121,145,1273.0,1.03,157.1,1.13
e5-small-ko [512],512,dragonkue/multilingual-e5-small-ko,384,264,512,0.7333,0.9333,0.8267,0.8196,110,140,313.0,0.39,553.2,1.12
harrier-270m [512],512,microsoft/harrier-oss-v1-270m,640,264,512,0.5733,0.7533,0.6544,0.6373,86,113,675.0,0.64,182.4,2.17
harrier-0.6b [512],512,microsoft/harrier-oss-v1-0.6b,1024,264,512,0.5267,0.68,0.5956,0.5789,79,102,1382.0,1.03,65.6,2.79
e5-large-instruct [512],512,intfloat/multilingual-e5-large-instruct,1024,264,512,0.24,0.3533,0.2889,0.2804,36,53,1273.0,1.03,146.6,1.42
bge-m3 [full] [hybrid(dense+sparse)],full,BAAI/bge-m3,1024,51,8192,0.9133,0.98,0.9444,0.9536,137,147,1536.0,0.2,28.3,3.44
kure-v1 [full],full,nlpai-lab/KURE-v1,1024,51,8192,0.9067,0.96,0.9311,0.9386,136,144,1565.0,0.2,29.6,3.81
bge-m3 [full],full,BAAI/bge-m3,1024,51,8192,0.9,0.96,0.93,0.9379,135,144,1536.0,0.2,28.3,3.44
harrier-270m [full],full,microsoft/harrier-oss-v1-270m,640,51,8192,0.82,0.8733,0.8444,0.8519,123,131,1360.0,0.12,31.9,7.29
harrier-0.6b [full],full,microsoft/harrier-oss-v1-0.6b,1024,51,8192,0.7267,0.8667,0.7878,0.808,109,130,2440.0,0.2,10.4,8.4
