model,검색,hf_id,dim,후보수,max_seq,Hit@1,Hit@3,MRR@3,nDCG@3,정답@1,정답@3,VRAM_MB,index_MB,chunks_per_s,query_ms
bge-m3 [512] [hybrid(dense+sparse)],512,BAAI/bge-m3,1024,264,512,0.8933,0.9867,0.9356,0.9185,134,148,1273.0,1.03,155.8,1.04
kure-v1 [512],512,nlpai-lab/KURE-v1,1024,264,512,0.86,0.98,0.9189,0.9144,129,147,1287.0,1.03,147.9,1.71
e5-small-ko [512],512,dragonkue/multilingual-e5-small-ko,384,264,512,0.8467,0.96,0.9,0.8901,127,144,313.0,0.39,562.2,1.08
bge-m3 [512],512,BAAI/bge-m3,1024,264,512,0.82,0.9667,0.8889,0.8756,123,145,1273.0,1.03,155.8,1.04
harrier-270m [512],512,microsoft/harrier-oss-v1-270m,640,264,512,0.7467,0.94,0.8389,0.8284,112,141,675.0,0.64,180.2,2.32
harrier-0.6b [512],512,microsoft/harrier-oss-v1-0.6b,1024,264,512,0.7467,0.9333,0.8344,0.8174,112,140,1382.0,1.03,64.7,2.93
e5-large-instruct [512],512,intfloat/multilingual-e5-large-instruct,1024,264,512,0.74,0.9133,0.82,0.807,111,137,1273.0,1.03,141.9,1.47
harrier-0.6b [full],full,microsoft/harrier-oss-v1-0.6b,1024,51,8192,0.9467,0.9933,0.9667,0.9735,142,149,2440.0,0.2,10.2,8.98
bge-m3 [full] [hybrid(dense+sparse)],full,BAAI/bge-m3,1024,51,8192,0.9333,0.98,0.9544,0.961,140,147,1536.0,0.2,27.3,3.48
kure-v1 [full],full,nlpai-lab/KURE-v1,1024,51,8192,0.9067,0.9667,0.9367,0.9445,136,145,1565.0,0.2,29.9,3.9
bge-m3 [full],full,BAAI/bge-m3,1024,51,8192,0.8933,0.96,0.9233,0.9328,134,144,1536.0,0.2,27.3,3.48
harrier-270m [full],full,microsoft/harrier-oss-v1-270m,640,51,8192,0.8933,0.9533,0.92,0.9286,134,143,1360.0,0.12,31.8,7.56
