model,검색,hf_id,dim,후보수,max_seq,Hit@1,Hit@3,MRR@3,nDCG@3,정답@1,정답@3,VRAM_MB,index_MB,chunks_per_s,query_ms
bge-m3 [512] [hybrid(dense+sparse)],512,BAAI/bge-m3,1024,264,512,0.9,0.9933,0.9433,0.9183,135,149,1273.0,1.03,156.7,1.12
kure-v1 [512],512,nlpai-lab/KURE-v1,1024,264,512,0.8667,0.98,0.9222,0.9102,130,147,1287.0,1.03,147.3,1.49
e5-small-ko [512],512,dragonkue/multilingual-e5-small-ko,384,264,512,0.8467,0.9667,0.9022,0.8889,127,145,313.0,0.39,548.1,1.1
bge-m3 [512],512,BAAI/bge-m3,1024,264,512,0.84,0.9733,0.9044,0.8803,126,146,1273.0,1.03,156.7,1.12
harrier-270m [512],512,microsoft/harrier-oss-v1-270m,640,264,512,0.7267,0.9267,0.8211,0.8031,109,139,675.0,0.64,180.8,2.41
harrier-0.6b [512],512,microsoft/harrier-oss-v1-0.6b,1024,264,512,0.7267,0.9267,0.82,0.7979,109,139,1382.0,1.03,65.0,3.0
e5-large-instruct [512],512,intfloat/multilingual-e5-large-instruct,1024,264,512,0.7333,0.8867,0.8044,0.7873,110,133,1273.0,1.03,146.6,1.57
harrier-0.6b [full],full,microsoft/harrier-oss-v1-0.6b,1024,51,8192,0.9533,0.9933,0.97,0.976,143,149,2440.0,0.2,10.3,8.09
bge-m3 [full] [hybrid(dense+sparse)],full,BAAI/bge-m3,1024,51,8192,0.9467,0.98,0.9611,0.966,142,147,1536.0,0.2,27.8,3.52
kure-v1 [full],full,nlpai-lab/KURE-v1,1024,51,8192,0.92,0.9667,0.9433,0.9494,138,145,1565.0,0.2,30.0,3.8
bge-m3 [full],full,BAAI/bge-m3,1024,51,8192,0.9067,0.9667,0.9333,0.9419,136,145,1536.0,0.2,27.8,3.52
harrier-270m [full],full,microsoft/harrier-oss-v1-270m,640,51,8192,0.9,0.9533,0.9233,0.931,135,143,1360.0,0.12,32.2,7.17
